tone_id	bank	number	name	category
16506	PR-B	123	AX Garage Bass	21:Synth Bass
16507	PR-B	124	Monster Bs	21:Synth Bass
16508	PR-B	125	AX Modular Bs 2	21:Synth Bass
16509	PR-B	126	Unison Bass 1	21:Synth Bass
16510	PR-B	127	Unison Bass 2	21:Synth Bass
16511	PR-B	128	Unison Atk Bs 1	21:Synth Bass
16640	PR-B	129	Unison Atk Bs 2	21:Synth Bass
16641	PR-B	130	Unison Atk Bs 3	21:Synth Bass
16642	PR-B	131	Lazor Bass	21:Synth Bass
16643	PR-B	132	Nz Sync Bass	21:Synth Bass
16644	PR-B	133	Dist Bass	21:Synth Bass
16645	PR-B	134	Delta Bass	21:Synth Bass
16646	PR-B	135	Sine Bend Dn Bs	21:Synth Bass
16647	PR-B	136	A-i-e-i Bs	21:Synth Bass
16648	PR-B	137	Dist Atk Bs	21:Synth Bass
16649	PR-B	138	Acoustic Bs 1	19:Ac.Bass
16650	PR-B	139	Acoustic Bs 2	19:Ac.Bass
16651	PR-B	140	Finger E Bs 1	20:E.Bass
16652	PR-B	141	Finger E Bs 2	20:E.Bass
16653	PR-B	142	Finger E Bs 3	20:E.Bass
16654	PR-B	143	Finger E Bs 4	20:E.Bass
16655	PR-B	144	Pick Bass 1	20:E.Bass
16656	PR-B	145	Pick Bass 2	20:E.Bass
16657	PR-B	146	AX Fretless Bs	20:E.Bass
16658	PR-B	147	AX Slap Bass	20:E.Bass
16659	PR-B	148	AX JP Strings	36:Synth Pad/Str
16660	PR-B	149	OB Strings	36:Synth Pad/Str
16661	PR-B	150	106 Strings	36:Synth Pad/Str
16662	PR-B	151	AX Syn Strings 1	36:Synth Pad/Str
16663	PR-B	152	PW Paradise	36:Synth Pad/Str
16664	PR-B	153	AX Syn Strings 2	36:Synth Pad/Str
16665	PR-B	154	Soft Saw Pad	36:Synth Pad/Str
16666	PR-B	155	Juno P13 Str	36:Synth Pad/Str
16667	PR-B	156	5th DLA Pad	36:Synth Pad/Str
16668	PR-B	157	Nu Epic Pad	36:Synth Pad/Str
16669	PR-B	158	PWM Basic Pad	36:Synth Pad/Str
16670	PR-B	159	PWM Hard Pad	36:Synth Pad/Str
16671	PR-B	160	Sawtooth Str	36:Synth Pad/Str
16672	PR-B	161	PWM Soft Pad 1	36:Synth Pad/Str
16673	PR-B	162	Soft Pad 1	36:Synth Pad/Str
16674	PR-B	163	PWM Soft Pad 2	36:Synth Pad/Str
16675	PR-B	164	PWM Soft Pad 3	36:Synth Pad/Str
16676	PR-B	165	Soft Pad 2	36:Synth Pad/Str
16677	PR-B	166	Chorus Pad	36:Synth Pad/Str
16678	PR-B	167	AX Hollow Pad	36:Synth Pad/Str
16679	PR-B	168	AX Heaven Pad	36:Synth Pad/Str
16680	PR-B	169	Shimmer Pad	36:Synth Pad/Str
16681	PR-B	170	Scape Pad	36:Synth Pad/Str
16682	PR-B	171	Str of Breath	36:Synth Pad/Str
16683	PR-B	172	Angels Pad	36:Synth Pad/Str
16684	PR-B	173	JX Strings	36:Synth Pad/Str
16685	PR-B	174	PWM Sweep Pad 1	36:Synth Pad/Str
16686	PR-B	175	PWM Sweep Pad 2	36:Synth Pad/Str
16687	PR-B	176	Trance Sweep Pad	36:Synth Pad/Str
16688	PR-B	177	Phase Pad	36:Synth Pad/Str
16689	PR-B	178	Cosmic Rays	36:Synth Pad/Str
16690	PR-B	179	Phase Super Saw	36:Synth Pad/Str
16691	PR-B	180	Phase PWM Pad	36:Synth Pad/Str
16692	PR-B	181	AX Voyager	36:Synth Pad/Str
16693	PR-B	182	Bend Pad	36:Synth Pad/Str
16694	PR-B	183	Tuned Nz 1	36:Synth Pad/Str
16695	PR-B	184	Tuned Nz 2	36:Synth Pad/Str
16696	PR-B	185	Tuned Nz 3	36:Synth Pad/Str
16697	PR-B	186	Strings 1	
16698	PR-B	187	Strings 2	
16699	PR-B	188	AX Mood Strings	
16700	PR-B	189	AX 60s Strings	
16701	PR-B	190	AX Small Strings	
16702	PR-B	191	Tape Strings	
16703	PR-B	192	AX Strings Stacc	
16704	PR-B	193	AX Pizzicato	
16705	PR-B	194	D-50 Pizz	
16706	PR-B	195	AX Violin	23:Solo Strings
16707	PR-B	196	AX Viola	23:Solo Strings
16708	PR-B	197	AX Cello	23:Solo Strings
16709	PR-B	198	AX Contrabass	23:Solo Strings
16710	PR-B	199	Square Saw	38:Synth PolyKey
16711	PR-B	200	Juno SAW	38:Synth PolyKey
16712	PR-B	201	Filter Env Key	38:Synth PolyKey
16713	PR-B	202	Mini Growl	38:Synth PolyKey
16714	PR-B	203	Round SQR	38:Synth PolyKey
16715	PR-B	204	SQR Atk Pop	38:Synth PolyKey
16716	PR-B	205	Touchy Key	38:Synth PolyKey
16717	PR-B	206	Poly Synth 1	38:Synth PolyKey
16718	PR-B	207	Poly Synth 2	38:Synth PolyKey
16719	PR-B	208	Poly Synth 3	38:Synth PolyKey
16720	PR-B	209	Ox Synth	38:Synth PolyKey
16721	PR-B	210	Trance Synth	38:Synth PolyKey
16722	PR-B	211	Super Saw Key 1	38:Synth PolyKey
16723	PR-B	212	Super Saw Key 2	38:Synth PolyKey
16724	PR-B	213	AX Digitaless	38:Synth PolyKey
16725	PR-B	214	S-Saw Stac Pluck	38:Synth PolyKey
16726	PR-B	215	Syn Vox Key	38:Synth PolyKey
16727	PR-B	216	Freeze Synth	38:Synth PolyKey
16728	PR-B	217	Mallet Pipes	38:Synth PolyKey
16729	PR-B	218	Saw Pluck	38:Synth PolyKey
16730	PR-B	219	PW Pluck	38:Synth PolyKey
16731	PR-B	220	Super Saw Pluck	38:Synth PolyKey
16732	PR-B	221	Echo Pluck	38:Synth PolyKey
16733	PR-B	222	AX Vintage Key	38:Synth PolyKey
16734	PR-B	223	Poly Synth 4	38:Synth PolyKey
16735	PR-B	224	AX Saws Key	38:Synth PolyKey
16736	PR-B	225	Sync staccato	38:Synth PolyKey
16737	PR-B	226	AX Analog Dream	38:Synth PolyKey
16738	PR-B	227	AX Dreaming Box	37:Synth Bellpad
16739	PR-B	228	D-50 Fantasia	37:Synth Bellpad
16740	PR-B	229	AX Fantasia	37:Synth Bellpad
16741	PR-B	230	AX Stacc Heaven	37:Synth Bellpad
16742	PR-B	231	AX Org Bell	37:Synth Bellpad
16743	PR-B	232	FM Sparkles	14:Bell
16744	PR-B	233	Snowflakes	14:Bell
16745	PR-B	234	X-Mod Bell 1	14:Bell
16746	PR-B	235	X-Mod Bell 2	14:Bell
16747	PR-B	236	AX Tubular Bells	14:Bell
16748	PR-B	237	Short Sqr Pluck	40:Synth Seq/Pop
16749	PR-B	238	7th Stack Seq	40:Synth Seq/Pop
16750	PR-B	239	8th Stack Seq	40:Synth Seq/Pop
16751	PR-B	240	MG Thumper	40:Synth Seq/Pop
16752	PR-B	241	PW-Echo Seq	40:Synth Seq/Pop
16753	PR-B	242	Syn Atk Pluck	40:Synth Seq/Pop
16754	PR-B	243	106 Brass	35:Synth Brass
16755	PR-B	244	AX Analog Brass	35:Synth Brass
16756	PR-B	245	80s Brass 1	35:Synth Brass
16757	PR-B	246	Wide Syn Brass	35:Synth Brass
16758	PR-B	247	Juno Brass	35:Synth Brass
16759	PR-B	248	Poly Brass 1	35:Synth Brass
16760	PR-B	249	Poly Brass 2	35:Synth Brass
16761	PR-B	250	Syn Brass 1	35:Synth Brass
16762	PR-B	251	Juno P18 Brass	35:Synth Brass
16763	PR-B	252	Apolis Brass	35:Synth Brass
16764	PR-B	253	AX JP Brass	35:Synth Brass
16765	PR-B	254	Oct Brass	35:Synth Brass
16766	PR-B	255	AX Soft Syn Brs	35:Synth Brass
16767	PR-B	256	Bright Syn Brass	35:Synth Brass
16896	PR-B	257	Filter Env Brass	35:Synth Brass
16897	PR-B	258	80s Brass 2	35:Synth Brass
16898	PR-B	259	80s Brass 3	35:Synth Brass
16899	PR-B	260	Syn Brass 2	35:Synth Brass
16900	PR-B	261	Soft Brass 1	35:Synth Brass
16901	PR-B	262	Soft Brass 2	35:Synth Brass
16902	PR-B	263	Reso Soft Brass	35:Synth Brass
16903	PR-B	264	AX Warm Syn Brs	35:Synth Brass
16904	PR-B	265	AX FM Brass	35:Synth Brass
16905	PR-B	266	Brass Sect	27:Ensemble Brass
16906	PR-B	267	Soft Ac Brass	27:Ensemble Brass
16907	PR-B	268	Sax Section 1	27:Ensemble Brass
16908	PR-B	269	Sax Section 2	27:Ensemble Brass
16909	PR-B	270	AX Brass Atk	27:Ensemble Brass
16910	PR-B	271	Trumpeter	26:Solo Brass
16911	PR-B	272	AX Romantic Tp	26:Solo Brass
16912	PR-B	273	AX Mute Trumpet	26:Solo Brass
16913	PR-B	274	AX Trombone	26:Solo Brass
16914	PR-B	275	AX Soprano Sax	30:Sax
16915	PR-B	276	AX Alto Sax	30:Sax
16916	PR-B	277	AX Tenor Sax	30:Sax
16917	PR-B	278	Breathy Sax	30:Sax
16918	PR-B	279	AX Baritone Sax	30:Sax
16919	PR-B	280	AX Piano	1:Ac.Piano
16920	PR-B	281	Mono Piano	1:Ac.Piano
16921	PR-B	282	JD-800 Piano	2:Pop Piano
16922	PR-B	283	AX Honky-tonk	2:Pop Piano
16923	PR-B	284	DNC Piano	2:Pop Piano
16924	PR-B	285	Blend Piano	2:Pop Piano
16925	PR-B	286	E-Grand	2:Pop Piano
16926	PR-B	287	Metal Key	2:Pop Piano
16927	PR-B	288	Dyno EP	4:E.Piano1
16928	PR-B	289	Stage EP	4:E.Piano1
16929	PR-B	290	AX Vintage EP	4:E.Piano1
16930	PR-B	291	Phase EP 1	4:E.Piano1
16931	PR-B	292	Phase EP 2	4:E.Piano1
16932	PR-B	293	Phase Stage	4:E.Piano1
16933	PR-B	294	AX Tremolo EP	4:E.Piano1
16934	PR-B	295	Psycho EP	4:E.Piano1
16935	PR-B	296	SA EP	4:E.Piano1
16936	PR-B	297	Wurly EP	4:E.Piano1
16937	PR-B	298	Dist Wurly	4:E.Piano1
16938	PR-B	299	FM EP 1	5:E.Piano2
16939	PR-B	300	FM EP 2	5:E.Piano2
16940	PR-B	301	AX Harpsichord	9:Harpsichord
16941	PR-B	302	AX Clav 1	10:Clav
16942	PR-B	303	AX Clav 2	10:Clav
16943	PR-B	304	Twah Clav	10:Clav
16944	PR-B	305	Phase Clav	10:Clav
16945	PR-B	306	AX Pulse Clav 1	10:Clav
16946	PR-B	307	AX Pulse Clav 2	10:Clav
16947	PR-B	308	Sweepin Clav	10:Clav
16948	PR-B	309	Lord Organ 1	6:E.Organ
16949	PR-B	310	Lord Organ 2	6:E.Organ
16950	PR-B	311	Perc Rotary Org	6:E.Organ
16951	PR-B	312	Rotary Org 1	6:E.Organ
16952	PR-B	313	Rotary Org 2	6:E.Organ
16953	PR-B	314	Rotary Org 3	6:E.Organ
16954	PR-B	315	Old Fashion	6:E.Organ
16955	PR-B	316	Vintage Organ 1	6:E.Organ
16956	PR-B	317	Vintage Organ 2	6:E.Organ
16957	PR-B	318	VK Organ 1	6:E.Organ
16958	PR-B	319	VK Organ 2	6:E.Organ
16959	PR-B	320	D-Bars 1	6:E.Organ
16960	PR-B	321	D-Bars 2	6:E.Organ
16961	PR-B	322	D-Bars 3	6:E.Organ
16962	PR-B	323	D-Bars 4	6:E.Organ
16963	PR-B	324	D-Bars 5	6:E.Organ
16964	PR-B	325	Dist Organ	6:E.Organ
16965	PR-B	326	Juno P14 Organ	6:E.Organ
16966	PR-B	327	D-50 Organ	6:E.Organ
16967	PR-B	328	PositiveOrg /Mod	7:Pipe Organ
16968	PR-B	329	Grand Pipes	7:Pipe Organ
16969	PR-B	330	AX Musette	12:Accordion
16970	PR-B	331	AX Harmonica	13:Harmonica
16971	PR-B	332	Pop Flute	29:Flute
16972	PR-B	333	Pan Pipes	29:Flute
16973	PR-B	334	Pan Pipes Breath	29:Flute
16974	PR-B	335	Bag Shaku Lead	29:Flute
16975	PR-B	336	AX Shakuhachi	29:Flute
16976	PR-B	337	AX Recorder	31:Recorder
16977	PR-B	338	AX Vibraphone	15:Mallet
16978	PR-B	339	AX Marimba	15:Mallet
16979	PR-B	340	AX Xylophone	15:Mallet
16980	PR-B	341	AX Steel Drums	15:Mallet
16981	PR-B	342	AX Ethno Keys	15:Mallet
16982	PR-B	343	AX Nylon Gtr 1	16:Ac.Guitar
16983	PR-B	344	AX Nylon Gtr 2	16:Ac.Guitar
16984	PR-B	345	AX Nylon Gtr 3	16:Ac.Guitar
16985	PR-B	346	Folk Gtr 1	16:Ac.Guitar
16986	PR-B	347	Folk Gtr 2	16:Ac.Guitar
16987	PR-B	348	Folk Gtr 3	16:Ac.Guitar
16988	PR-B	349	Steel Gtr Wide	16:Ac.Guitar
16989	PR-B	350	12-str Guitar	16:Ac.Guitar
16990	PR-B	351	Jazz Gtr	17:E.Guitar
16991	PR-B	352	AX Clean Guitar	17:E.Guitar
16992	PR-B	353	Pick Guitar	17:E.Guitar
16993	PR-B	354	ST Guitar	17:E.Guitar
16994	PR-B	355	Funk Gtr	17:E.Guitar
16995	PR-B	356	Wah E.Gtr /Mod	17:E.Guitar
16996	PR-B	357	Dist Gtr 1	18:Dist.Guitar
16997	PR-B	358	Searing Gtr 1	18:Dist.Guitar
16998	PR-B	359	Searing Gtr 2	18:Dist.Guitar
16999	PR-B	360	Searing Gtr 3	18:Dist.Guitar
17000	PR-B	361	Dist Fingerz	18:Dist.Guitar
17001	PR-B	362	Dist Gtr 2	18:Dist.Guitar
17002	PR-B	363	Digi Dist Gtr	18:Dist.Guitar
17003	PR-B	364	Fuzz Lead	18:Dist.Guitar
17004	PR-B	365	Oct Searing Gtr	18:Dist.Guitar
17005	PR-B	366	MS1959 II	18:Dist.Guitar
17006	PR-B	367	MS1959 I	18:Dist.Guitar
17007	PR-B	368	Metal Lead	18:Dist.Guitar
17008	PR-B	369	COSM Searing 1	18:Dist.Guitar
17009	PR-B	370	COSM Searing 2	18:Dist.Guitar
17010	PR-B	371	OD-2 Turbo	18:Dist.Guitar
17011	PR-B	372	Guitar Rip	18:Dist.Guitar
17012	PR-B	373	Santur Stack	22:Plucked/Stroke
17013	PR-B	374	AX Koto	22:Plucked/Stroke
17014	PR-B	375	AX Shamisen	22:Plucked/Stroke
17015	PR-B	376	AX Sitar	22:Plucked/Stroke
17016	PR-B	377	AX Harp	22:Plucked/Stroke
17017	PR-B	378	AX Aerial Harp	22:Plucked/Stroke
17018	PR-B	379	Lost Paradise	22:Plucked/Stroke
17019	PR-B	380	AX Kalimba	22:Plucked/Stroke
17020	PR-B	381	World X	42:Pulsating
17021	PR-B	382	Xadecimal	42:Pulsating
17022	PR-B	383	Metal Sync	42:Pulsating
17023	PR-B	384	5th Stack	42:Pulsating
17152	PR-B	385	HPF Tap	42:Pulsating
17153	PR-B	386	Auto Pluck	42:Pulsating
17154	PR-B	387	Step Beat	42:Pulsating
17155	PR-B	388	Side Chain Bass	42:Pulsating
17156	PR-B	389	Side Chain Pad	42:Pulsating
17157	PR-B	390	Step Slicer 1	42:Pulsating
17158	PR-B	391	Step Slicer 2	42:Pulsating
17159	PR-B	392	Step Slicer 3	42:Pulsating
17160	PR-B	393	Step Slicer 4	42:Pulsating
17161	PR-B	394	Step Slicer 5	42:Pulsating
17162	PR-B	395	Step Slicer 6	42:Pulsating
17163	PR-B	396	Step Slicer 7	42:Pulsating
17164	PR-B	397	Step Slicer 8	42:Pulsating
17165	PR-B	398	Step Slicer 9	42:Pulsating
17166	PR-B	399	Wobble	42:Pulsating
17167	PR-B	400	Transition 1	42:Pulsating
17168	PR-B	401	Transition 2	42:Pulsating
17169	PR-B	402	Oct Play	42:Pulsating
17170	PR-B	403	Bass Seq	42:Pulsating
17171	PR-B	404	Dist Cutter	42:Pulsating
17172	PR-B	405	Rhythm 1	42:Pulsating
17173	PR-B	406	Rhythm 2	42:Pulsating
17174	PR-B	407	TB Loop	42:Pulsating
17175	PR-B	408	Step Refrain	42:Pulsating
17176	PR-B	409	Pop up	39:Synth FX
17177	PR-B	410	HPF Down	39:Synth FX
17178	PR-B	411	Riser	39:Synth FX
17179	PR-B	412	Accelerate	39:Synth FX
17180	PR-B	413	Nz Sweep Dn	39:Synth FX
17181	PR-B	414	Nz Sweep Up	39:Synth FX
17182	PR-B	415	Chiptuner	39:Synth FX
17183	PR-B	416	Bit Walker	39:Synth FX
17184	PR-B	417	Ring Mod 1	39:Synth FX
17185	PR-B	418	Ring Mod 2	39:Synth FX
17186	PR-B	419	Ring /Mod	39:Synth FX
17187	PR-B	420	X-Mod Driver	39:Synth FX
17188	PR-B	421	Kick/Snare	39:Synth FX
17189	PR-B	422	AX Orchestra Hit	44:Hit
17190	PR-B	423	AX Bass Hit	44:Hit
17191	PR-B	424	AX 6th Hit	44:Hit
17192	PR-B	425	AX Tao Hit	44:Hit
17193	PR-B	426	Min7 Hit	44:Hit
17194	PR-B	427	AX Major 7	44:Hit
17195	PR-B	428	AX Choir 1	32:Vox/Choir
17196	PR-B	429	AX Choir 2	32:Vox/Choir
17197	PR-B	430	Angels Choir	32:Vox/Choir
17198	PR-B	431	Vox Pad 1	32:Vox/Choir
17199	PR-B	432	U-Ahs /Mod	32:Vox/Choir
17200	PR-B	433	Vox Pad 2	32:Vox/Choir
17201	PR-B	434	Oh-Aah /Mod	32:Vox/Choir
17202	PR-B	435	AX Aerial Choir	32:Vox/Choir
17203	PR-B	436	AX Jazz Scat	33:Scat
17204	PR-B	437	Jazz Doos	33:Scat
17205	PR-B	438	Bop Voice	33:Scat
17206	PR-B	439	Pop Voice	33:Scat
17207	PR-B	440	AX Synth Voice	32:Vox/Choir
17208	PR-B	441	VP-330 Choir	32:Vox/Choir
17209	PR-B	442	Syn Vox 1	32:Vox/Choir
17210	PR-B	443	Syn Vox 2	32:Vox/Choir
17211	PR-B	444	Org Vox	32:Vox/Choir
17212	PR-B	445	Oohs Chord	32:Vox/Choir
17213	PR-B	446	Vox Noise	32:Vox/Choir
17214	PR-B	447	Sample Opera	32:Vox/Choir
17215	PR-B	448	A E I O /Mod	32:Vox/Choir
17216	PR-B	449	U-A /Mod	32:Vox/Choir
17217	PR-B	450	Analog Vowel	32:Vox/Choir
17218	PR-B	451	AX Analog Voice	32:Vox/Choir
17219	PR-B	452	Voc.Ensemble	32:Vox/Choir
17220	PR-B	453	Voc.Sub Choir 1	32:Vox/Choir
17221	PR-B	454	Voc.Robot	32:Vox/Choir
17222	PR-B	455	Voc.5th Stack	32:Vox/Choir
17223	PR-B	456	Voc.VP-330	32:Vox/Choir
17224	PR-B	457	Voc.Sub Choir 2	32:Vox/Choir
17225	PR-B	458	Voc.Saw	32:Vox/Choir
17226	PR-B	459	Voc.Noise	32:Vox/Choir
17408	PR-C	1	SL-JP8 1	38:Synth PolyKey
17409	PR-C	2	SL-JP8 2	38:Synth PolyKey
17410	PR-C	3	SL-JP8 3	34:Synth Lead
17411	PR-C	4	SL-JP8 4	34:Synth Lead
17412	PR-C	5	SL-JP8 5	36:Synth Pad/Str
17413	PR-C	6	SL-JP8 6	21:Synth Bass
17414	PR-C	7	SL-JP8 7	21:Synth Bass
17415	PR-C	8	SL-JP8 8	36:Synth Pad/Str
17416	PR-C	9	SL-JP8 9	21:Synth Bass
17417	PR-C	10	Sl-JP8 10	38:Synth PolyKey
17418	PR-C	11	SL-JP8 11	38:Synth PolyKey
17419	PR-C	12	SL-JP8 12	36:Synth Pad/Str
17420	PR-C	13	SL-JP8 13	35:Synth Brass
17421	PR-C	14	SL-JP8 14	35:Synth Brass
17422	PR-C	15	SL-JP8 15	35:Synth Brass
17423	PR-C	16	SL-JP8 16	36:Synth Pad/Str
17424	PR-C	17	SL-JP8 17	38:Synth PolyKey
17425	PR-C	18	SL-JP Bass1	21:Synth Bass
17426	PR-C	19	SL-JP Bass2	21:Synth Bass
17427	PR-C	20	SL-JP Bass3	21:Synth Bass
17428	PR-C	21	SL-JP Bass4	21:Synth Bass
17429	PR-C	22	SL-JP Bass5	21:Synth Bass
17430	PR-C	23	SL-JP PWM	36:Synth Pad/Str
17431	PR-C	24	SL-JP6 1	38:Synth PolyKey
17432	PR-C	25	SL-JP6 2	36:Synth Pad/Str
17433	PR-C	26	SL-JP6 3	35:Synth Brass
17434	PR-C	27	SL-JP6 4	34:Synth Lead
17435	PR-C	28	SL-JP6 5	34:Synth Lead
17436	PR-C	29	SL-JP6 6	34:Synth Lead
17437	PR-C	30	SL-JP6 7	36:Synth Pad/Str
17438	PR-C	31	SL-JP6 8	36:Synth Pad/Str
17439	PR-C	32	SL-JP6 9	36:Synth Pad/Str
17440	PR-C	33	SL-JP6 10	38:Synth PolyKey
17441	PR-C	34	SL-JP6 11	38:Synth PolyKey
17442	PR-C	35	SL-JP6 12	36:Synth Pad/Str
17443	PR-C	36	SL-JP6 13	38:Synth PolyKey
17444	PR-C	37	SL-JP6 14	34:Synth Lead
17445	PR-C	38	SL-JP6 15	34:Synth Lead
17446	PR-C	39	SL-JP6 16	38:Synth PolyKey
